id,prenom,age,sexe,note_maths,note_francais,note_statistique
1,Jean,20,F,15.6,10.4,7.1
2,Marie,20,F,13.7,8.3,6.4
3,Patrick,22,F,13.3,15.2,15.5
4,Grace,25,F,11.8,10.8,18.0
5,Christian,21,M,10.4,9.6,19.4
6,Nadege,24,F,7.2,9.0,17.7
7,Emmanuel,23,F,15.5,13.4,19.6
8,Divine,25,F,13.2,16.3,14.3
9,Joseph,24,F,15.2,8.5,8.4
10,Esther,23,F,17.1,16.7,10.7
11,Blaise,26,M,8.1,11.6,15.1
12,Chantal,20,F,12.9,10.4,11.9
13,Fiston,23,F,14.9,16.4,16.6
14,Bienvenue,22,F,16.5,12.0,6.0
15,Aline,24,F,14.5,12.0,18.7
16,Dieudonne,26,F,9.4,10.5,13.4
17,Merveille,23,M,17.7,12.0,8.3
18,Trésor,21,M,7.2,8.5,6.6
19,Rachel,21,M,13.8,11.8,13.9
20,Junior,26,M,18.6,16.6,5.2
21,Sarah,20,M,16.0,11.4,9.4
22,Patricia,21,M,6.0,15.2,15.8
23,Gedeon,21,F,17.3,11.0,14.6
24,Bella,22,F,10.9,9.6,19.3
25,Franck,19,M,12.4,9.1,10.4
26,Odette,23,F,6.8,16.8,19.2
27,Yannick,20,M,16.6,17.8,13.0
28,Carine,21,F,14.6,17.5,7.5
29,Gloire,25,F,18.1,15.6,15.3
30,Prisca,23,M,18.9,14.5,11.6
